Cleaned_Comment,Predicted_Sentiment
rahul dravid ladke yeh ladke,POSITIVE
thank you so much sir for inviting us,POSITIVE
ley chahal,POSITIVE
our modi ji is great greater and greatest of all,POSITIVE
jay ho modi bhagwan,POSITIVE
modi ji to bhagvan h,POSITIVE
ye modiji itne kharab joke maarte hain yaar,NEGATIVE
hindustan jindabad jindabad,POSITIVE
hindustan jindabad jindabad jindabad,POSITIVE
virat bhai olympics jeetna hai fitness banaye rakhna aisi hi,POSITIVE
modi ji jo khiladi banch pe hi baite rh gye aap usne bhi bat krte to achcha lgta,NEGATIVE
thank you sir for treating them like champions,POSITIVE
where is dube in this vedio,NEGATIVE
ye yo ye yo oy ye hitman,POSITIVE
pm of our era,POSITIVE
pm sir like a wow so glad,POSITIVE
ye woh is more important for rohit sharma,POSITIVE
jb gle lagaya andar se bhavuk jaisa pal tha tab log bolte hai andhbhakt koi n andhbhakt hi sahi aise insan k liye,NEGATIVE
english sub needed,POSITIVE
bageshwar dham b j p yeshe p m,NEGATIVE
wande martram i love,POSITIVE
jay sri ram jay hind aap jug jug jio modi ji india team,NEGATIVE
hardik l,POSITIVE
where is the press meet,NEGATIVE
hamare desh ki aan ban shan hai hamare modi ji aapko koti koti pranam,NEGATIVE
mai yaha rohit ka yaha na wo yeh hai sunne aya hoon,NEGATIVE
virat and hardikku love,POSITIVE
i am from pakistan i just wana say indian team were unbeatable and this is the unbeatanle history indians made i am big fan of rohit and virat such a great player you boys deserved the champions mjhay to itna pakistan kay harnay per afsos nahi huwa jitna khushi apko jeet kay dekh kar hui last time rohit were crying in the final vs austraila you gusy such hardworkers love you all indian teams and we want you should come in pakistan for the champioans trophey and i belive you guys will win this tropy also,POSITIVE
i m youtube channel ke,NEGATIVE
happy to see team and their country pm meeting appreciating and celebrating the win lots of love and congratulations from i know you might not like my opinion but i would assure all there that we pakistanis love indian team despite we have heros in our team too congratulations india,POSITIVE
really huge jai hind,NEGATIVE
when we will see the interaction video with manipur people,POSITIVE
lovely start to your podcasts modi saheb cant wait to see more you have truly connected to the nation jai bharat,POSITIVE
jay shah and roger binny be like modi ji am i a joke to you,NEGATIVE
modi ji mujhe ek nokri dijiye,NEGATIVE
mubarak ho deshwasiyon,NEGATIVE
what about samson,POSITIVE
opposition minister is in manipur and heres our peaceful prime minister with his wisdom and knowledgeable word,POSITIVE
the man the legend modi ji,POSITIVE
dusaro ka credit lena koi sekhe ense,POSITIVE
so much respect,POSITIVE
grt,NEGATIVE
pm l,NEGATIVE
respect for pm modi he didnt touched the hard earned glory of playerstrophy he touched the hand of rohit and rahul,POSITIVE
the last scene was epic,POSITIVE
ict,POSITIVE
rohit and his woh never ending love story,NEGATIVE
much respect,POSITIVE
our pm modi ji our proud,POSITIVE
modiji itna time desh k bhalai k liye soch lete toh kya baat hoti,NEGATIVE
modi ji garibo k liye bhi kuch kr lo ye to jite ya na jite inka kuch bigdne wala nhi h yha bethe gyan bant rhe ho faltu ka koyi dng k kaam k liye gyan banto desh me garibi bd rhi h uske liye kuch soch lo or bhut kaam baki h bs yehi kaam rh gya kya india ki gourmet ko,NEGATIVE
yaaar sari video ek taraf pant ki recovery ki story struggle or modi ki call us ko win my heart big big respect and love from pakistan,POSITIVE
its like the principal had a meeting with all his successful alumni but rahul sir is the best menter indian cricket team has ever found,POSITIVE
i proud to be nadiadi and proud of you axar,POSITIVE
yewohro,POSITIVE
virat k chakkar me iski bakwaas sunni pdii,NEGATIVE
all good but i think the other support staffs have as much authority as these had so they were to be calledcome not a bjp hater,POSITIVE
modiji kabhi cameramen ko bhi furasat do,POSITIVE
non biological pm ji aap kab jaoge sir,NEGATIVE
aap sabhi ko nahin lag raha hai yahan per english mein koi bhi baat nahin kar raha hai kya baat hai,NEGATIVE
manipurkab jaogepm jijish olympic ki betiyon ko apne beti kaha thaunhe ghashita gayatab apne ek shabd nahi kahasirf credit lene event baajiaur dikhava karne ki adat kab band hogi,NEGATIVE
woww,POSITIVE
mai anaath ka daya kro,NEGATIVE
modi ji aap karja maaf kar diya to aap ke uper aor bharosa ho jayega,NEGATIVE
if rohit is hit man and virat is kind then ofcourse bumrah is lion of world,NEGATIVE
king ki wajah se dekhne aya tha bs ye video,NEGATIVE
you know what entire are happy,POSITIVE
best youtuber india n modi,POSITIVE
ye modi ko kyo bata rahe ho ye bolega bhagwa pahno,NEGATIVE
modis podcast is far more better than any other podcast,POSITIVE
isse kya aata hai ye modi ko,POSITIVE
modi ji bihar mea sabi,NEGATIVE
haar me bhi saath hu jeet me bhi sath huthats what true leader is,POSITIVE
hindi me baat karna achchaa lagta h,NEGATIVE
modiji hamare sanju k sath na to apne photo khichwayi or na hi unse baat ki jabki rishab pant jisne pure world cup me na to ache se run bnaye or na hi koi match winning inning kheli fir b usko itna support karte ho sanju ko support kyo nahi karte kya vo kerala se aata hai isliye such me wicketkeeper k liye first priority pe sanju hona chaiye tha fir b usko ek match nahi khilaya jabki vo team me deserve karta hai real me aaj apke liye jo mere dil me respect thi vo thodi kam ho gyi,NEGATIVE
sir please justice for gyan bhai please si,POSITIVE
respect modi ji and team india,POSITIVE
mr modiji your charector resembles your success the righteous leader of this world simple in acts but tough in decisions keep it up to retain our pride as a indian,POSITIVE
the world leader meets the world cup leaders,POSITIVE
modi ji be like pm hone se ghar nhi chalta,NEGATIVE
what about women wrestler,POSITIVE
modi sir whenever i see the country crossing the sky i feel proud of the country and yes tears come from my eyes i am proud that i was born on gods birthplace thank you god congratulations team india,POSITIVE
bharat teams india zindabad,POSITIVE
egnlish,NEGATIVE
our lion and brave pm shree narendra modi ji pranam hai sir aapko aapka charitra aur aapki personality shi mai bhtt prabhavshali hai jai hind sir,POSITIVE
ek baar hathrasmai bhi chale jaayo,NEGATIVE
great indian cricket team and great india our pm sir,POSITIVE
bahoot vadiya ham khus hai lekin jese aap team india se mile wese hi manipur ke logo se laddhakh ke uttrakhand ke hath rash up me jake bhi mil lo,NEGATIVE
modi ji khel ki duniya se bahar ja kar khel ki duniya ko control kar rhe hai ex jai shah,NEGATIVE
dont let our cricket stars to go to pakistan for champions trophy their safety is highest concern than any trophy if any damage happen to their safety nowdays will trigger the nations pride so plss dont approve bcci for champions trophy in pakistan,NEGATIVE
woah looking delicious,POSITIVE
kapil sharma show ki yeha bhi jabardasti hash rahe hai,NEGATIVE
yehi samman indian gold medalist ko bhi milna chahiyemagar unka to balkar ho rha hai,POSITIVE
our diamonds,POSITIVE
what an amazing moment for every indian origin person when you have a good leader whether in sports or country it will always lead to winners,POSITIVE
cricket dont show off you self,NEGATIVE
modi ji indian team paapistan mein nahi jaani chahiye champion trophy ke liiye wo ek jihadi desh hai kitne aarop lga rahe lagate rahe indian team per aur haarne ke liye masjido mein namaz ker te rahe bangladeshi bhi wo bhi i dono desho se koi cricket per bann laga dijiye,NEGATIVE
one like for rahul dravid amp all players,POSITIVE
shivam dube se baat nahi ki itni jalan,NEGATIVE
where is jaddu in this interview,NEGATIVE
hats off to modi g u r incredible sir,POSITIVE
sala manipur nahi gaya or nazar lagane indian cricketer se milne chla gya,NEGATIVE
archery shooting boxing swiming hockey and baki games me bhi india ke players gold madal late hai kabhi unke sath bhi video banao sir unko kabhi bhi cricket jitna paisa or respect nahi milta credit lena aasan hai apke liye,NEGATIVE
miss you sanju,POSITIVE
etna support indian cricket ko karte ho thoda sa indianfootball ka bhee kar lo sir ji,POSITIVE
sab log yaha wah modiji we are proud of you modiji bolege jab vote dene ki bari aayi tab aaj becaus of some moron who didnt vote bjp modiji is handicapped amp have to make sarkar with nitish amp reddy,NEGATIVE
modiji spoke to all the members of team except shivam dubeythis might be unintentional but its wrongits a self understandable fact that pm must have planned his conversation to some extent beforehand only as it was telecasted nationally so it should have been streamlined in such a way that no member should be ignored,NEGATIVE
modi ji us din har pe v sath the iss bar jit mai v sath hai a hota hai desh ka pradhan mantri,NEGATIVE
well done bharat,POSITIVE
team india thank you very much for working so hard and bringing the world cup to our country i am proud of teme india par i love you team india vande mataram,POSITIVE
comments me kuch logo ke pichwade me jwala bhadak rahi haibahut maza aarha dekhkar long live india long live modi,POSITIVE
modi ji the indias pride,POSITIVE
just amazing respect from pakistan,POSITIVE
sir hamari madad kijiye aur hamari pariwar ko karja se bacaaiye sir,POSITIVE
modi ji never forgets to capitalise on votes,POSITIVE
risaab ka reaction,POSITIVE
please virat kohli cricket bacho,POSITIVE
hiii modi ji,POSITIVE
indian wall stands tall rahul dravid he deserves,POSITIVE
yeeee modi,POSITIVE
modi shab,POSITIVE
md siraj kyu nahi tha meeting mei guys any info regarding this,NEGATIVE
aaj phirse kis kisne roya is video ko dekh ke,NEGATIVE
best pm with best players,POSITIVE
rahul gandhi ji recpet,POSITIVE
sorry from all haters and trollers hardik sir,NEGATIVE
surya dada ball quotdhakalquot dunga andarthis is how marathi mixes with hindi and becomes mumbaiyyalol,NEGATIVE
narendra modi sir sahara india bank me hum log paisa hai sir payment ho jata sir please request sir,POSITIVE
hardik pandey salute,POSITIVE
ameer ki to har koi help karta h sir karna h to gareebo ki help karo mister pm,POSITIVE
jio mere ser,NEGATIVE
congratulations indian cricket team i love india,POSITIVE
jai mata di jai hind all team india hitman rohit sharma modi ji,POSITIVE
pm modi should talk to neet ug aspirant too like this and discuss their insecurities,NEGATIVE
rohit and his quotwohquot are permanent,POSITIVE
proud as indian world champions,POSITIVE
cricket nhi dekhta hu phir bhi aasu agye,NEGATIVE
modi sir team india great,POSITIVE
zabardast modi g inciridible moments with indian team am pakistani love rohit and bumrah,POSITIVE
no words to explain after watching this video,NEGATIVE
shri pm narendra das modi love cricketers but why ms dhoni is not a secretary of board of control for cricket in india,NEGATIVE
cricket and politics,POSITIVE
end mai sab acha hua,NEGATIVE
respect from bangladesh,POSITIVE
modi hamara gah me bi cricket sidar karia,NEGATIVE
sir i also want to meet with you,POSITIVE
what a proud moment for india,POSITIVE
so so so beautiful,POSITIVE
narendar modi rahul gandhi,POSITIVE
i am proud of you indian cricket team virat and rohit and hardik sir my favourite congratulations,POSITIVE
beautiful bahut hi emitional positive aur progressive baatein huyi iss interview meinmodi ji ka thank you ki aapne team india ke saath aisi baatein ki aur hum sabhi desh vasiyon ke saath share bhi kiya bahut accha laga ye dekh ke,POSITIVE
i loved this entire conversationfun emotionsrespect humility and inspiration,POSITIVE
daruv rathee,POSITIVE
thikh hua modi nhi aay wrna fir haar jaate modi is the biggest panoti,POSITIVE
congratulations apna india,POSITIVE
waah modi ji,POSITIVE
jab tak yah jahan rahega modi ji ka naam rahega,NEGATIVE
pradhanmantri narendra modi ki kitni percent hoti hai jay bharat mata namo,NEGATIVE
ram ram bhai,POSITIVE
arshdeep is unsung hero anyone did not notice his contribution,POSITIVE
rip to those who didnt understand any shit because they are talking in hindi,NEGATIVE
modi ji ek hi to dil hai kitni baar jitoge aap,NEGATIVE
rohit and quotwoquot never ending love story,NEGATIVE
yaar i love you ro,POSITIVE
baar world cup,POSITIVE
kis kisne puri video deki,NEGATIVE
chahal ka hi majak,POSITIVE
thnkto modijo wo stedium nhi gye warna panuti lag jati,NEGATIVE
jai hind oll teem,NEGATIVE
ek baat bahut chubhi siraj se modi sir baat nhi kyesivay sare player ke,NEGATIVE
sb thike tha per why modi ji cannot shekh hands with mohammad siraj,NEGATIVE
ye ponoti nahi gya isbar isliye jeeta,NEGATIVE
virat ke liye cricket olympics mein aa raha hai,NEGATIVE
jb haare the tb bhi pm milne gaye the,NEGATIVE
earlier i saw a photograph mahi brought the trophy sonia gandhi was holding it all the congress leaders were sitting and the true legends indian cricleters were standing nd today i saw how pm is talking to them treating them with respect and also there was a photo in which pm was holding hands of virat and rohit,POSITIVE
sourav quotladko ladkoquot kitna baar bola batao,NEGATIVE
east or west modi is best,POSITIVE
this is called a true leadership,POSITIVE
jab poore desh mai structures collapse ho rahe hai logon ki jaan ja rahi hai iitians ko bhi employment nahin mil rahiyeh bkl cricketers se baat cheet kar raha hai,NEGATIVE
modi ji cricket ka hindi mai naam batao,NEGATIVE
maje hai modi ji ke,NEGATIVE
did gandhi family person ever call indian team and did boys talk what they say,POSITIVE
modi such a legend,POSITIVE
this is real pm,POSITIVE
bjp k channel pr sidhu paji ki commentary,NEGATIVE
love india cricket team from bangladesh,POSITIVE
colnel saheb pakriye parmod singh lathwar vaishy ghand torwaye,POSITIVE
aam logo se bhi agar modi ji aise baat kare to is desh ka kalyan jarur hoga aam logo mai jaise dukandar bhai naukri karne wale log labour class etc,NEGATIVE
ye sab baadme phele agniveer hatao modi ji,NEGATIVE
dhruv rathi,POSITIVE
keep going no matter how bad things are right now no matter how stuck you feel no matter how many days youve spent crying no matter how many days youve spent wishing things were different no matter how hopeless and depressed you feel i promise you wont feel this way forever,POSITIVE
justice for sidhu moose wala,NEGATIVE
football ko kab ye milaga,POSITIVE
first time rahul and modi,POSITIVE
cricket players ka sath vi politics karna lga,NEGATIVE
so nice of you pm modi ji,POSITIVE
kabhi manipur hathras bhi ho aao,NEGATIVE
hardik vai aap mera inspiration hai lv u vai,POSITIVE
though m bhutanese but i m feeling so proud congratulations to all the team,POSITIVE
congratulations india cricket team,POSITIVE
modi sir us din hum bhi roye the kiuki safar kaisa tha wo ek cricketer lover ko hi pata hei,NEGATIVE
ab kaha h wo frustrated jealouschote dimag ke khangressi shantidoot leftist urban naxal,NEGATIVE
camera premii anchor,POSITIVE
if someone wants to learn something about life and a game in this whole conversation than mark virat kohli words such a legend he is,POSITIVE
yuzi chahal,POSITIVE
mujhe kus kehena hain sir se patanahin youtube ke madhamse a information dena chahatahu ki jitnebhi jjm ke kam hotehain jiadase jeada paysa officer log khajate hain kam thikse nehihota pani kabhikabar detihain kuskharabi ho toh mahina lagadeti hain ak nagrik goalpara assam gariboki namese peysa thikedar our officer ke jebmain jate hain plc incoiry it,NEGATIVE
tears came to my eyes as i watched till the ending moment modi jis last words touched my heart,POSITIVE
podcast with modi ji,POSITIVE
virat be like agar hasunga nhi to mara jaunga,NEGATIVE
modiji konsa app use karte ho thumbnail ke liye btw congratulations team india amp proud also,POSITIVE
pm pm,NEGATIVE
i hope modi will have a word with sa team also,POSITIVE
jay ho modi ji jay shri ram,POSITIVE
we love you rohit bhai,POSITIVE
none of pm spoke to each and every player as considering family members,NEGATIVE
south africa ka world cup tha david miller ka six sixr tha,NEGATIVE
har khel ko badava diya karo,NEGATIVE
izzat kamani parti hai or in players ny wo kamaee hai,NEGATIVE
mashallah they deserved this reception and respect love you all team and all the participants,POSITIVE
aisa pm india main hona wo bhi ek world cup jitne barabar hai,NEGATIVE
here my rahul is coming,POSITIVE
bcci ke logo ka interview hi nahi rakha,NEGATIVE
start practice again this team can make more history all bharatiya trust and believe you all team of bharat,POSITIVE
share this dhruv rathiaur ek episode banjaye gaa,POSITIVE
hlw sir neet exam ka kya hua,POSITIVE
each and every second,POSITIVE
jay shah se bhi kuch puch lete,NEGATIVE
love you virat bhai but miss u virat and rohit legend,POSITIVE
why its so satisfying,POSITIVE
aap jaisa pm hona desh ke liye garv ki baat hai aur team india ko badhai bahut accha khele sab,NEGATIVE
afghanistan india,NEGATIVE
india gerua jersey ka power,POSITIVE
nice touch at the end that the pm invited everyones family members also for meeting and taking photos with them modi ji may not have a family as an individual but he considers whole india as his family,POSITIVE
first openly shameless prime minister of india,NEGATIVE
tay ka time schedule kam chorka vas yahi karta hai credibility zero monipur neet net electoral bond train accident train derailed poor condition of bridge and airport amp plains poor condition of roads caste and communal politics but always one head ahead to do hindu muslim foreign travel expensive dress collection nonsense lecture i think he is actually not biological,NEGATIVE
fake trophy real trophy is in dubai in icc headquarters that trophy is only for photography,NEGATIVE
shame on godi ji,NEGATIVE
best pm and team india best,POSITIVE
rahul dravid bohot he inspiring person he wo koi bhi credit khud nahi lete sabki tarif karte he khud behind the camera kam karte hein dravid k liye respect hamesha baar jata hein,POSITIVE
puri team ko bhut bhut badai or modi ji ko dil se pernam sir bhut hi sunder video hai dil khush ho gaya bharat mata ki jai bharat ki jab jeet hui jo khushi ke anshu the hamari bhi ankhe khushi ke anshu se nam ho gayi bhut hi acha mheshoosh ho raha hai proud feeling ho rahi hai badai ho bhartiya team pure desh ka sar uncha kar diya aaj to special thank you madi ji ka jo itne pyar se har bat khete hai samjhte hai himmat dete hai bharat ke har nagrik ko thank you sir,POSITIVE
but jaiswal and jadeja and shivam dubbe,POSITIVE
yahan comment pdh kr lgta hai ki kya hoga india kakhali khel mein aage aur sb cheez mein peeche,NEGATIVE
poor population ka kya haal kabi ye jaan lo vip to vip hote h lekin itna time kaha h,NEGATIVE
where was mohammad siraz,NEGATIVE
sanju samson ka photo hi nhi video,NEGATIVE
gjb mtlb kitni chhoti chizo ka dhyan rakhte hai modi ji love you yrr chunav party jo bhi ho mujhe nhi manna pr pm bahut hi achhe hai,NEGATIVE
are toda manipur me bhi jake mil lete kairo ki tarah amiro se milne ki adat hai,NEGATIVE
isme likhr lele sare anpadandhbhakt honge abe tumhe kaun puchta hai ye dekho cricketer to croro ke malik hai apni gad gatar me hai pr crorpatiyo ka pichawada saf karne me bada mja ar hai,NEGATIVE
its a very good content,POSITIVE
why u not add english subtitles are you target only north indians,NEGATIVE
modi ji ne aaj dil jit liya,POSITIVE
kya baat modi ji ne podcast bhi shru krdiya,NEGATIVE
modi ji team ko bulane k ek hi maksad hai ki bhai aap log kabhi mat haro desh aapse bahat kuch expections rakhta hai paise bhi or pride bhi idesh aap k saath haii,NEGATIVE
what an excellent reply by virat true sportsperson,POSITIVE
atal ji or modi ji enke jesa pm kavi nai ayega best pm,POSITIVE
love you maa,POSITIVE
where are the support staffsthey also played an important role in india victory,POSITIVE
jai indian cricket team,POSITIVE
congratulations yutube channel k,POSITIVE
congratulations heros,POSITIVE
bsnl company ka service achaa karo nahi to chor chuhaar ambani key chakkar mein harogey,NEGATIVE
jai bharatjai hindjai namo ji m man o of d determination and i implementation,POSITIVE
great gestures from pm modi sir,POSITIVE
nice indian leader modi ji,POSITIVE
we appreciate pm modi jinowhere found this type of pm in the worldwe are very grateful to you,POSITIVE
best pm in world,POSITIVE
we are so proud to be indians loved this whole video loved the sportsmanship and humbleness of pm and all players of indian team such a wonderful video made my day,POSITIVE
wha modi ji wha,NEGATIVE
modi ji thanku for everything thanku indian cricket team,POSITIVE
sanju ke sath photo ki video kyu nhi ky krdiyaa usne,NEGATIVE
congratulations indian cricket teamr i love my india,POSITIVE
such a great honour to us the cricket lover pm sir we have a pm like you please support all through the entire life and inspire us,POSITIVE
love for modi i gotta say that our indian football never welcomed that way the way people welcome cricket team indian football is very weak i feel so sad,NEGATIVE
virat love you man,POSITIVE
sbhi ka interview hua lekin jaddu ka kyu ni,NEGATIVE
mobile tariff badh gaya ish pe dhayan dijiye,NEGATIVE
what a prime minister what a team bharat is blessed,POSITIVE
pm is a good interviewer also,POSITIVE
khushi itna khushi kabhi nahi mila,NEGATIVE
kings are togather,POSITIVE
great adorable and beautiful mind blowing and meaningful discussions with our victorious cricket team members honourable revered and venerable pm sir you always appreciate players of every field as i noticed and found you doing this great feelings to appreciate them whenever you honourable find time out of your do much busy schedules which no doubt have yielded benchmarks in the field of games activities in our communities in the country so nice to watch you venerate sir once again have more nice moments as it gives greater encouragement to the new generation many many happy congratulations to the whole cricket team once again for their wonderful performance,POSITIVE
modi or ambani desh ko loot rahe hai,NEGATIVE
inke paas hatras ke piditonse milne ka time nahi,NEGATIVE
modi siraj se kyu nhi mila,NEGATIVE
how much earning our pm modi ji from his yt channel,POSITIVE
sky beard rak bhaibina beard k acha nahi lgta,NEGATIVE
best pm for ever jo desh ki bhawana se joor ke rakhna jante hai indian ko jornewala pm indian ko torne wale jorne ke naam pe ghumta hai bahrupiya ban kar,POSITIVE
desh ke log ne cricket ko jada mana is liye modi ne dunika ka sabse bada stadium banaya agar desh ka youth employment mangata tabhi to modi employment dete sabhe youth ne cricket manga is liye modi ne,NEGATIVE
why siraj here he is not deserve at all,NEGATIVE
virat sir miss you,POSITIVE
memorable moments,POSITIVE
modi ji aate he aapko haar me bhi guide karte he game he har jeet hoti rehti he,NEGATIVE
pichli bar panoti lag gai thi,NEGATIVE
a king always a kingking kohli,POSITIVE
sanju s bhi baat kr lete,NEGATIVE
bjp preparing to make the left out religion cricket their vote bank,NEGATIVE
i cant even imagine pappu sitting there interviewing team,NEGATIVE
kai logo ko burnol lagaye,NEGATIVE
one thing to note everybody have the same type of chair no special chair for pm or anyone else good guesture,NEGATIVE
woh desh ka dushman hoga jo ye yt channel ko subscribe nahi karega,NEGATIVE
text likhakar bata rahe hai kiye virat kohali hai bhai kaun nahi janta bacha bacha janta hai,NEGATIVE
i think indai the most talented cricket team in this era and they deserves alots of respect and love they all played for their country thats why they achieved lot of love from pakistan well done boys you are all the kings,POSITIVE
great moment brilliant n touching gestures from our pm modiji to our indian team wining team congratulations to team india feel proud full respect,POSITIVE
jo bhi mantaa hai ki yahi hain hamare desh kay sahi pradhan mantri woh like cmmnt karein,NEGATIVE
proud of our cricket teamproud of our pm modi jee amp proud to be indian,POSITIVE
the champions sound good,POSITIVE
boring isliye nahi laga bcse ham sab cricketer ko sun rahe the,NEGATIVE
i love youindia i love youmodi jii aap humare gaurav ho,POSITIVE
this is so beautiful love pm modi and our cricket team,POSITIVE
recharge itna kyu badhya iske vishay pe bhi kuch boliye bjp sarkar app to din ba din logo ka guajra mushkil kar rahe abb to lag raha abhi iss desh me chalna bohot mushkil ho jayega,NEGATIVE
virat is so respectable man love from pakistan,POSITIVE
jay hind india,NEGATIVE
garden me kisi ko ghumne ni deta modi ji rohit,POSITIVE
now top to down all are the great personalities in india,POSITIVE
panoti stadium me nhi tha warna,NEGATIVE
isko bolte hai apne position ka fayada uthanaa,NEGATIVE
just came here to learn how politicians take credit of the work they have never done,POSITIVE
modijichahal tum itna serious kyon ho chahalmeri cousin ne is bar neet diya latak gayi hai paper leak mamle me pm koi charcha nahi kar rahe isiliye,NEGATIVE
well done team india great win congratulations,POSITIVE
pm hai,POSITIVE
shivam samson jadeja siraj,POSITIVE
i am proud of india,POSITIVE
you are a great my pm modi ji,POSITIVE
moment was great and should have used autumn sweet melon,NEGATIVE
rahul dravid and jimmy shergill have the same voice,POSITIVE
suryakumar ne catch nhi match pakda hai,POSITIVE
surya be like thankyou,POSITIVE
har sports ko agar ayese support karte to india sports me bahat aage ja sakta he,POSITIVE
nmn,NEGATIVE
not good prime minister,NEGATIVE
kitna nautanki pm hai yaar bygod pakistani drama hi lagta,NEGATIVE
pm ho to modi jesa dil chu leta hai bhai,NEGATIVE
outstanding program inspiring us to forward continuously to own aim thanks to all indian team thanks to modi ji,POSITIVE
ye wo karne ki aadat nahi jayengi,NEGATIVE
pm modi neither speak with mohammad siraj nor took a picture with him only because he is an indian muslimthis show the true character of pm modi,NEGATIVE
always busy posing for photos videos hungry for limelight,NEGATIVE
why are we boys crying with a smile on our face,POSITIVE
modi ko kohli ne kya ahnkar ka path padhya hai legends can relate this,POSITIVE
india aapke jasa pm deserve krta h aap true leader h love you pm of india,POSITIVE
we need this with team india football too when mr modi,POSITIVE
jadeja se koch nay boka modiji ne,NEGATIVE
aapne sahi pakada hai,POSITIVE
i love you modi sir,POSITIVE
modi is real person real jan nayak namo namo,POSITIVE
virat ki bat bahut hi perfect h i can relate this from me,POSITIVE
bach ke rhna khiladio khi phlwano wala hal na ho jaye,NEGATIVE
jay hind sar,NEGATIVE
arsdeep facearsdeep voice,NEGATIVE
great indian team,POSITIVE
bhai is video ka editor kon hai,POSITIVE
jaihind veero,POSITIVE
rohit sharma was epic with woh woh,POSITIVE
sir i proud of my self tht im watching ur channel the respected pm of india,POSITIVE
shabana modi ji se hamen baat karna hai shabana hai phone karo utha nahin rahe hain ham is ram card bhi bada online paisa nahin a raha hai machine ka bhi bata raha hun man bhi nahin a raha hai hamara koi sahayata kariye,NEGATIVE
jaishwal nahi dekha,NEGATIVE
great pm ever man with golden heart love you modiji,POSITIVE
kon kon mere jaise chote youtuber ko support karke support pana chata hai,NEGATIVE
earlier pm gave respect but this pm uses them for his political mileage,NEGATIVE
asli leader,POSITIVE
wah pradhan mantri ji kash etna aapne desk ke yuwao ke rojgar dene ke lea gosip ki hoti,NEGATIVE
the proud moment,POSITIVE
vara prasad pixcels universities,POSITIVE
mani ratnam pixcel universities,NEGATIVE
poorchandra rao pixcels universities,NEGATIVE
pixcels universities prathap n internet,NEGATIVE
im here to see yeh vo,POSITIVE
pm ho toh aisi,NEGATIVE
aaj modiji podcaster bne hain,NEGATIVE
kuldeep tumari ye himaat kese hui ki tum captain ko nacha rhe ho,NEGATIVE
ab ho gya hoga move on to like kar do guys,POSITIVE
whos rewatching it on loop like me,NEGATIVE
aap aise waise nhi ho pradhanmantri ji aap ek motivation ho aap is desh ki shaan ho aap mere hindustan ki jaan ho,NEGATIVE
rohits ye wo is permanent lots of love,POSITIVE
a real leader has your back in all the situations congratulations to team india for this victory that the world will remember forever,POSITIVE
we so proud of team india and so humble pm like modiji,POSITIVE
love virat and rohit like kro,POSITIVE
pant bhi modi ji ko sabasi de rha h,POSITIVE
a great conversation of the indian cricket team with our hon prime minister loved every moment of it,POSITIVE
modi ji ne podcast channel khola hai kya,NEGATIVE
narendra modi ke kamre mein yah mohammed siraj kya kar raha hai musalman kahan se fas gaya isko bahar nilalo modi ji,NEGATIVE
manniy yashsvi pradan mantri shree modi ji ko hirday ki gaharaio se bahut bahut badhai aur tahe dil se hardik shubhkamanaye aapaka aashirwad sadaiv hm logo pr bna rhe thanks aapka apna cpsenkoshadhyakshbjpdeendayal nagar mandal rewa amp pradesh upadhyaksh sen samaj madhyapradesh,NEGATIVE
jaiii jaiijaii shree ram congratulations jaiii shree agel cosmopolitan shree narendra modi ji ko jaiii shree ram regards,POSITIVE
great prime minister,POSITIVE
prime minister great human,POSITIVE
next captain hardik pandya,POSITIVE
sir hamare jese garibo se bi puslijiy ki hamari kesi halat he,NEGATIVE
lots of love and respect from afghanistan bahoot mahan hai mera hindustan,POSITIVE
hello pm please tell me reason why i should be giving a next vote to goverment you gyz are asshole i am trying ask for a help there is no one to listen me shall i burn it sector,NEGATIVE
oii budhay pm bankay khov dikitha ha oii gayn gaming insaf dae,NEGATIVE
kya inspired hue hai bacche zimbabwe ke samne haar gaye,POSITIVE
i proud of modi ji,POSITIVE
world cup jitne ki khushi sabko h lekin sirf mumbai ki bheed ko dekhte huve turant se modi ji ne time nikal ke indian players ke sath meetup kiya interview kiya kash etna interest kash etni hi jldi se neet exam leaked ke liye meetup rakhte nta cbi or bhi jitni intelligence or student ko represent krne vale teacher jese alakh sir nv sir or turant se dicision lete to aaj bat kuch or hoti world cup ki bheed sirf mumbai me dekhne ko mili lekin neet exam leaked ki vjh se na jane kitne hi bacho ne sucide kr liya kitno ke ma bap rod pe aa gye or pure desh ki bheed humare hounrable pm sir ko ni dikh rhi,NEGATIVE
siraj and sanju,POSITIVE
speaking our mother language hindi in all champion team felling proud lv u all,POSITIVE
shivam dube pm modi ji plzz one word,NEGATIVE
world champion team india pm narendra modi,POSITIVE
modiji naukrio ka kya hua,POSITIVE
real leader of our country,POSITIVE
i am proud modi ji is our pm,POSITIVE
hardik pandya love you always time,POSITIVE
kya kahu apney pm sir ka,POSITIVE
aisa pm na dekha na koi hoga na ho payega bach gya desh rahul gandhi se puri team ko badhai or khaskar modi ji ko salaam modi ji i am so sorry me kuchh time tak antimodi tha lekin aapke kaam ne meri soch badal ke rakh di aapko tahe dil se dua he ki aapka swasthya hamesha acha rahe or aap desh ke liye aise hi prerna bante raheaap sabhi sports team se ak baar mile or you tube pe share kre taki har deshvasi bhi aapke madhyam se us team ke sath rahe or mahila cricket team ki hoslafjaaye bhi krne ki kripa kre hamara desh aapka or aap jese mhaan netaao ka sadaa rini rahega jai ma bharti hindustaan zindabad,NEGATIVE
